C6,NUM NUM rates/nn ./
C6,NUM NUM rates/nn because/in
C6,NUM NUM rates/nn ./
C5,NUM NUM in/in this/dt
C5,NUM NUM in/in the/dt
C6,NUM NUM ./ 
C6,NUM NUM rate/nn on/in
C4,NUM NUM / prompted/vbd
C6,NUM NUM is/vbz the/dt
C5,NUM NUM to/to 70/ab
C1,NUM NUM of/in japanese/jj
C6,NUM NUM rates/nn decline/vbp
C6,NUM NUM rates/nn since/in
C6,NUM NUM rates/nn eventually/rb
C6,NUM NUM to/to the/dt
C6,NUM NUM rates/nn /
C1,NUM NUM in/in japanese/jj
C6,NUM NUM rates/nn has/vbz
C1,NUM NUM in/in further/jj
C6,NUM NUM rates/nn /
C6,NUM NUM rate/nn by/in
C6,NUM NUM costs/nn to/to
C3,NUM NUM / in/in
C1,NUM NUM in/in american/jj
C5,NUM NUM in/in the/dt
C1,NUM NUM in/in making/vbg
C5,NUM NUM or/cc more/jjr
C6,NUM NUM rates/nn they/pp
C6,NUM NUM rates/nn below/in
C6,NUM NUM payment/nn due/jj
C6,NUM NUM rate/nn swap/nn
C6,NUM NUM rate/nn swap/nn
C6,NUM NUM rate/nn swap/nn
C6,NUM NUM payments/nn on/in
C6, NUM rates/nn rose/vbd
C1,NUM NUM in/in use/nn
C6,NUM NUM rates/nn and/cc
C6,NUM NUM on/in which/wdt
C4,NUM NUM on/in their/pp
C4,NUM NUM in/in encouraging/vbg
C6,NUM NUM rates/nn and/cc
C1,NUM NUM was/vbd directed/vbn
C1,NUM NUM was/vbd focused/vbn
C6,NUM NUM income/nn ./
C6,NUM NUM expense/nn exceeds/vbz
C1,NUM NUM in/in helping/vbg
C5,NUM NUM in/in the/dt
C3,NUM NUM / a/dt
C6,NUM NUM costs/nn and/cc
C6,NUM NUM rates/nn ./
C5,NUM NUM / for/in
C6,NUM NUM rates/nn /
C6,NUM NUM rates/nn due/jj
C6,NUM NUM rates/nn below/rb
C4,NUM NUM / for/in
C1,NUM NUM in/in a/dt
C6,NUM NUM rates/nn and/cc
C3,NUM NUM / /
C1,NUM NUM and/cc remained/vbd
C6,NUM NUM rates/nn are/vbp
C6,NUM NUM rates/nn at/in
C6,NUM NUM rates/nn move/vbp
C5,NUM NUM in/in packaging/nn
C6,NUM NUM coverage/nn and/cc
C6,NUM NUM rates/nn /
C6,NUM NUM rates/nn down/rp
C6,NUM NUM rate/nn rose/vbd
C1,NUM NUM / and/cc
C1,NUM NUM in/in mr./np
C6,NUM NUM rates/nn paid/vbn
C5,NUM NUM / would/md
C6,NUM NUM to/to in/in
C5,NUM NUM in/in certain/jj
C5,NUM NUM in/in a/dt
C5,NUM NUM in/in real/jj
C6,NUM NUM rate/nn and/cc
C6,NUM NUM he/pp was/vbd
C6,NUM NUM cost/nn ./
C6,NUM NUM cost/nn ./
C6,  on/in the/dt
C6,NUM NUM rates/nn a/dt
C1,NUM NUM in/in mortgage/nn
C1, NUM is/vbz a/dt
C6,NUM NUM rates/nn on/in
C6,NUM NUM monthly/rb /
C4,NUM NUM of/in the/dt
C5,NUM NUM in/in manufacturing/vbg
C1,NUM NUM in/in the/dt
C1,NUM NUM in/in refillable/jj
C6,NUM NUM only/rb for/in
C6,NUM NUM rates/nn ./
C6,NUM NUM rate/nn differentials/nn
C6,NUM NUM rates/nn /
C6,NUM NUM rates/nn and/cc
C6,NUM NUM rates/nn decline/vbp
C6,NUM NUM rates/nn to/to
C6,NUM NUM rates/nn /
C6,NUM NUM rates/nn /
C6,NUM NUM rate/nn options/nn
C6,NUM NUM rate/nn options/nn
C6,NUM NUM rate/nn options/nn
C6,NUM NUM rate/nn environment/nn
C6,NUM NUM rate/nn options/nn
C6,NUM NUM rate/nn options/nn
C6,NUM NUM rate/nn options/nn
C6,NUM NUM rate/nn options/nn
C1,NUM NUM from/in an/dt
C1,NUM NUM in/in health-care/nn
C6,NUM NUM rates/nn soon/rb
C5,NUM NUM / surged/vbd
C5,NUM NUM / on/in
C6,NUM NUM rate/nn sensitives/nn
C6,NUM NUM rates/nn ./
C3,NUM NUM in/in congress/np
C5,NUM NUM in/in certain/jj
C6,NUM NUM rate/nn of/in
C5,NUM NUM in/in its/pp
C5,NUM NUM but/cc before/in
C5,NUM NUM in/in saudi/np
C1,NUM NUM in/in stocks/nn
C5,NUM NUM in/in solid-waste/nn
C5,NUM NUM in/in building/nn
C3,NUM NUM are/vbp in/in
C6,NUM NUM rates/nn ./
C6,NUM NUM rate/jj cycles/nn
C6,NUM NUM rates/nn /
C6,NUM NUM rates/nn could/md
C6,NUM NUM rates/nn are/vbp
C1,NUM NUM in/in gold/nn
C6,NUM NUM rates/nn over/in
C1,NUM NUM in/in the/dt
C6,NUM NUM rates/nn made/vbd
C1,NUM NUM in/in public/jj
C5,NUM NUM ./ 
C5,NUM NUM ./ 
C1,NUM NUM / however/rb
C6,NUM NUM rates/nn will/md
C6,NUM NUM rates/nn are/vbp
C6,NUM NUM rate/nn differentials/nn
C1,NUM NUM ./ 
C6,NUM NUM rate/nn /
C6, NUM rates/nn rose/vbd
C6,NUM NUM rate/nn 8.07/ab
C6,NUM NUM rate/nn on/in
C6,NUM NUM payments/nn by/in
C1,NUM NUM at/in first/jj
C1,NUM NUM in/in golf/nn
C6,NUM NUM rates/nn charged/vbn
C6,NUM NUM payments/nn last/jj
C3,NUM NUM / says/vbz
C1,NUM NUM that/in nyu/np
C1, NUM in/in stock/nn
C4,NUM NUM to/to see/vb
C1,NUM NUM / /
C4,NUM NUM / probably/rb
C6,NUM NUM charges/vbz the/dt
C2,NUM NUM to/to cbs/np
C1, NUM instead/rb decreased/vbd
C1, NUM waned/vbd as/in
C6,NUM NUM rates/nn below/rb
C6, NUM rates/nn on/in
C6,NUM NUM and/cc set/vbn
C6,NUM NUM ./ 
C6,NUM NUM rate/nn to/to
C6,NUM NUM rate/nn starting/vbg
C6,NUM NUM payments/nn on/in
C6,NUM NUM rate/nn on/in
C4,NUM NUM as/in a/dt
C5,NUM NUM / which/wdt
C5,NUM NUM from/in amoco/np
C6,NUM NUM rates/nn dipped/vbd
C5,NUM NUM in/in tissue/nn
C6,NUM NUM rates/nn ./
C6,NUM NUM rates/nn wo/md
C5,NUM NUM to/to mitsubishi/np
C5,NUM NUM in/in the/dt
C6,NUM NUM payments/nn ./
C4,NUM NUM of/in national/jj
C3,NUM NUM / the/dt
C1,NUM NUM / it/pp
C1, NUM in/in emigration/n
C6, NUM income/nn for/in
C6,NUM NUM rate/nn of/in
